timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,highest_bid,lowest_bid,highest_ask,lowest_ask
2021-07-01,3.92100000,4.35880000,3.81040000,4.11500000,7364131.83000000,1625183999999,30361514.75953100,95343,3803406.06000000,15693357.07264000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-02,4.11500000,4.27090000,3.79000000,3.94900000,3058292.24000000,1625270399999,12078203.37758400,40340,1483912.72000000,5856765.79651400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-03,3.94900000,4.19990000,3.83610000,4.05630000,2428527.38000000,1625356799999,9799667.13900000,28847,1230297.47000000,4967040.48362700,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-04,4.05560000,5.25000000,3.97660000,4.79220000,11258057.89000000,1625443199999,54596912.71346100,188385,5702848.55000000,27646458.73202100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-05,4.79510000,4.88000000,4.31490000,4.65960000,6537881.22000000,1625529599999,29987267.74521900,96635,3258593.45000000,14958132.83869800,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-06,4.66250000,6.00000000,4.65450000,5.85200000,12564353.86000000,1625615999999,68043896.40632600,181151,6318217.39000000,34241272.69884300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-07,5.85870000,6.49000000,5.55720000,5.69000000,9632079.71000000,1625702399999,58552560.95838800,143283,4880526.65000000,29706179.37289500,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-08,5.68290000,7.05530000,5.37320000,5.50190000,18415370.31000000,1625788799999,114671318.99199300,279377,9219139.51000000,57431806.63429300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-09,5.49460000,6.78690000,5.02220000,6.47110000,12635311.95000000,1625875199999,73976788.47265600,201127,6359208.49000000,37268905.94793200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-10,6.47120000,7.35000000,6.03500000,6.29680000,13408087.32000000,1625961599999,90445814.53376600,209415,6708758.79000000,45381251.16288300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-11,6.29790000,7.42040000,6.19300000,7.04090000,11289956.68000000,1626047999999,78506149.05119100,175703,5705658.50000000,39708501.87539900,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-12,7.05100000,7.29700000,6.25340000,6.55460000,7838479.29000000,1626134399999,52576705.03315400,122614,3863459.05000000,25954289.66497100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-13,6.56390000,7.57130000,6.42810000,6.88720000,15754781.57000000,1626220799999,111841289.75412200,240210,7937753.48000000,56411303.90093800,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-14,6.88770000,7.50000000,5.90620000,7.27290000,14580932.76000000,1626307199999,97130330.92447400,219763,7050310.84000000,46981244.98973700,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-15,7.26910000,8.57780000,6.83740000,6.94820000,26175519.33000000,1626393599999,206170265.35389600,456705,13114345.81000000,103314734.06470900,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-16,6.94820000,7.30000000,5.72000000,5.75160000,12017680.41000000,1626479999999,78681824.08457700,201710,5898423.13000000,38687209.00191100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-17,5.75290000,5.90830000,5.29670000,5.63130000,7206156.97000000,1626566399999,40624715.87214300,123877,3496758.58000000,19737011.04843600,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-18,5.62400000,6.25000000,5.33230000,5.60840000,6728827.99000000,1626652799999,39113492.18570800,109083,3298392.57000000,19189556.13229500,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-19,5.61070000,5.62940000,4.72000000,4.80590000,5462012.33000000,1626739199999,27714420.35545400,86941,2569688.86000000,13042372.09603600,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-20,4.80600000,4.82390000,4.02620000,4.42320000,8026859.04000000,1626825599999,35233367.60899300,124232,3898356.44000000,17118427.96501800,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-21,4.42540000,5.38030000,4.24820000,5.23000000,11177612.25000000,1626911999999,56010674.45435600,167739,5588989.90000000,28015519.84790200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-22,5.23320000,6.23000000,5.12270000,5.91630000,15119964.07000000,1626998399999,86518959.70868100,199437,7969171.24000000,45587132.31430400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-23,5.91220000,8.06500000,5.73850000,7.65110000,21012848.77000000,1627084799999,141318619.99046500,347166,10511644.77000000,70743758.81388300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-24,7.66210000,11.34840000,7.20280000,10.47770000,35770009.30000000,1627171199999,328629742.43524100,782825,18269102.67000000,167861436.86996600,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-25,10.47770000,12.77990000,9.08430000,11.58400000,43068342.27000000,1627257599999,491421264.59357700,924263,21756028.37000000,248735039.38538000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-26,11.58390000,11.60610000,8.80520000,9.33860000,24686017.57000000,1627343999999,249652840.56812200,480251,12542624.39000000,126935423.02807800,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-27,9.34240000,14.58000000,8.60010000,13.59500000,51351634.49000000,1627430399999,637168753.60721100,1225448,25724984.36000000,319310364.86584100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-28,13.58940000,15.20000000,12.53510000,13.58940000,30464671.40000000,1627516799999,417224888.30809900,785273,15035148.36000000,206250874.55237000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-29,13.60340000,16.50000000,13.11460000,14.85100000,31263671.75000000,1627603199999,473880638.89707800,847885,15704788.65000000,238222578.95226000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-30,14.85260000,15.20000000,13.17640000,14.90930000,19499310.05000000,1627689599999,274250504.09327500,469571,9649735.98000000,135755504.91139700,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-07-31,14.90030000,14.92770000,13.40150000,13.62280000,12018391.43000000,1627775999999,168244217.41614800,307645,5831875.28000000,81618726.33460000,0,0.68500000,0.55200000,0.68600000,0.80800000
